0,href best part,0
1,wierd funny,0
2,hey guys human br br br want human want sexy fucking giraffe br br br already money surgery elongate spinal core surgery change skin pigment everything else like post others root dream br br br im fucking make music check first song rel nofollow class ot hashtag href giraffebruuh,1
3,party rock lol wants shuffle,0
4,party rock,0
5,shuffle,0
6,omg,0
7,song really fun,0
8,awsome br,0
9,wow increible song,0
10,love song much,0
11,likeee,0
12,miss people dressed like,0
13,last year decent music,0
14,best song ever,0
15,super nice love musique,0
16,wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0
17,party rock,0
18,thumbs watched,0
19,increidebl,0
20,lmfao,0
21,superr,0
22,llikee,0
23,yeah let start party,0
24,awesome song needed years reach mil views tango switch bitch needed year fairrrrrrr,0
25,nice girl,0
26,remember back popular everyone school shuffling crazy,0
27,lmfao,0
28,super awesome video br,0
29,dance,0
30,always favorite song br favorite part href href video,0
31,party rock br,0
32,lmfao party rock anthem ft lauren bennett goo href br box man got moves makes meh smile,0
33,best song ever hire br,0
34,funny mahogany lmao actually know brother uncle part lmfao,0
35,party rock anthem love party rock anthem life,0
36,stop top,0
37,ahhh back life suck,0
38,party rock xd,0
39,cute,0
40,lmfao best songs ever,0
41,fuckin love song br br br sexy know,0
42,shuffle hard made earthquake nepal,0
43,nice,0
44,still reminds years back shuffle everyday,0
45,love song makes wanna dance,0
46,time shirt cool,0
47,love video song course,0
48,check video youtube,1
49,nice br yeah fucking,0
50,well dudes faded fuck,0
51,ah good old times,0
52,old good song,0
53,cool,0
54,million view anymore,0
55,good,0
56,check video youtube,1
57,check video youtube br,1
58,remeber good ol days songs butts,0
59,music hero,0
60,born wrong generation,0
61,love song makes wanna dance,0
62,love song makes wanna dance,0
63,good like,0
64,views,0
65,love lmfao party rockin keep going,0
66,best music ever,0
67,likeeee,0
68,cool,0
69,remeber song good,0
70,lt,0
71,want robot guy,0
72,love songs,0
73,omg going bi views,0
74,dance,0
75,check video youtube,1
76,years,0
77,cool cool cool cool cool cool cool,0
78,wow love,0
79,knows name girl one one,0
80,stop career music music rocks,0
81,nice,0
82,sooooo many downs,0
83,tension,0
84,nice,0
85,br like video,0
86,music yeah,0
87,like,0
88,epic track video awesome,0
89,likkee,0
90,give like,1
91,lets party,0
92,support fight th amendment right privacy home business stop nsa spying americans un patriot act renewal rand paul spent hours senate floor protest filibuster fighting constitution nation founded join fight rand paul dot com spread word someone cares nation email senators congress men women tell support rand tell news support rand senator rand paul href morning fighting constitution,1
93,mindblowing dance superbbb song,0
94,anyone else think video theme bit insult days later,0
95,check video youtube,1
96,never get old,0
97,remember used popular around time br still love,0
98,strong messages every song heard,0
99,fucking years fucking past fucking fast fuck,0
100,know old song like watching,0
101,watching summer,0
102,going blow mind,0
103,im shufflin still today,0
104,favorite song ever love party rock everybody,0
105,views,0
106,lets get billion,0
107,love soooooooooooooooooooooooooooooooooooooooooooooooooo much,0
108,love song much,0
109,subscriber,1
110,song awesome,0
111,best song ever made swear still hear even doe old else,0
112,came vanoss,0
113,best song ever br,0
114,epic,0
115,like much music good,0
116,beautiful song,0
117,feel like gangnam style copied song,0
118,damn everywhere,0
119,party time,0
120,never gets old,0
121,song fu cking awesom,0
122,put picture image thingie,1
123,okay cover time thumbs watching youtube still exists,1
124,song insane br dance listening song lol,0
126,thumbs shrek gay,1
127,thumbs robo guy baby,0
128,seriously come beat insanely good holy fuck,0
129,best party song literally party rock housee tonight,0
130,memories,0
131,lovee,0
132,views nikki minaj anaconda,0
133,lmfao best,0
134,else saw jesses dancing sorry spelled wrong peace,0
135,like robot shuffles shuffles good,0
136,cant stop shuffle,0
137,dang dat little kid gat moves,0
138,miss song,0
139,loves,0
140,check video youtube br gotta dance blast every time hear song love br,1
141,man song really get bones one minute nearly dosing sleep next shuffling like crazy hot feet xd,0
142,shake golden black robot really partying,0
143,take look video youtube,1
144,cooooooooooooolllllllllll,0
145,wow,0
146,oh shit uploaded birthday finally birthday isnt curse day maylaysia airlines went missing thought birthday curse xd,0
147,everyday shufflin,0
148,everyday shufflin,0
149,thumbs fe fe fe fe fegelein brought u,1
150,every day shuffling,0
151,cool song ever good thing,0
152,world shuffle,0
153,love guys love song,0
154,funny listen rock death metal like,0
155,shuffling way lmfao like one wish could shuffle like crazy dudes,0
156,th viewed video guess,0
157,favorite song,0
158,like song br,0
159,wow dance show,0
160,awesome,0
161,like ur watchin,1
162,good times,0
163,laughing fucking ass,0
164,see back ask people got like song seems like gangnam style copied style though might yea,0
165,wait saw kid kidding,0
166,party rock due duel,0
167,fucking love omg v,0
168,good dance companions front whole school,0
169,check video youtube,1
170,could finally spongebob started yesterday xd,0
171,thumbs watching,0
172,love,0
173,lmfao party rock anthem ft lauren bennett goonrock,0
174,hate laura bennett comes,0
175,subscribe channel,1
176,party da tonight,0
177,best partying,0
178,omg,0
179,guys jacket sleeve sleeveless arm,0
180,best song ever,0
181,take look video youtub br,1
182,like steps,0
183,let get video one billion views,0
184,head like years ago time flies,0
185,views comments oh lanta,0
186,still shuffling song,0
187,check video youtube,1
188,df lauren bennett,0
189,cool,0
190,awesome,0
191,cool heard,0
192,xd going crazy fuckin crazy watchin brah,0
193,shuffled listening song illness spreading,0
194,way guy warring robot head,0
195,like songs,0
196,almost billion views nice,0
197,sorry haters br br br br br br br br br br br br br party rock en,0
198,like br,0
199,gooooood,0
201,likeeeeeeeee,0
202,shuffle,0
203,lol funny love,0
204,good party,0
205,like comment watching,1
206,check video youtube,1
